"Features","diff","beta1"
"X1",-0.0660393653980064,0
"X10",-0.520059488079234,0
"X11",-0.912639387215931,0
"X12",-0.851635546255144,0
"X13",0.104090833622948,0
"X14",0.286526931111515,0
"X15",-1.00302294480815,0
"X16",0.0363047224207078,0
"X17",-0.365926639352525,0
"X18",-0.22850137866115,0
"X19",-0.380492058204424,0
"X2",2.84707424452919,0
"X20",-0.394618480592928,0
"X3",2.05952327269969,0
"X4",2.06169792364493,0
"X5",2.0618420158582,0
"X6",1.23976427465928,0
"X7",0.748237220985595,0
"X8",0.410269973724688,0
"X9",-0.349475983890492,0
"X1",3.74374472168967,1
"X10",-0.520059488079549,1
"X11",-0.912639387216053,1
"X12",-0.851635546255392,1
"X13",0.104090833622964,1
"X14",0.286526931111573,1
"X15",-1.00302294480815,1
"X16",0.0363047224206756,1
"X17",-0.365926639352461,1
"X18",-0.228501378661124,1
"X19",-0.380492058204337,1
"X2",2.84707424452919,1
"X20",-0.39461848059307,1
"X3",2.05952327269969,1
"X4",2.06169792364493,1
"X5",2.06184201585821,1
"X6",1.23976427465928,1
"X7",0.748237220985596,1
"X8",0.410269973724688,1
"X9",-0.349475983890511,1
"X1",1.95828110765249,2
"X10",-0.520059488079447,2
"X11",-0.912639387215822,2
"X12",-0.851635546254924,2
"X13",0.104090833622981,2
"X14",0.28652693111153,2
"X15",-1.00302294480819,2
"X16",0.0363047224206936,2
"X17",-0.365926639352538,2
"X18",-0.228501378661231,2
"X19",-0.380492058204359,2
"X2",2.84707424452919,2
"X20",-0.394618480593091,2
"X3",2.05952327269969,2
"X4",2.06169792364493,2
"X5",2.0618420158582,2
"X6",1.23976427465928,2
"X7",0.748237220985595,2
"X8",0.410269973724687,2
"X9",-0.349475983889552,2
"X1",1.05941584632312,3
"X10",-0.520059488079243,3
"X11",-0.912639387215639,3
"X12",-0.851635546255415,3
"X13",0.104090833622939,3
"X14",0.286526931111514,3
"X15",-1.00302294480821,3
"X16",0.0363047224206478,3
"X17",-0.365926639352582,3
"X18",-0.228501378661863,3
"X19",-0.380492058204382,3
"X2",2.84707424452919,3
"X20",-0.394618480593094,3
"X3",2.05952327269969,3
"X4",2.06169792364493,3
"X5",2.0618420158582,3
"X6",1.23976427465928,3
"X7",0.748237220985595,3
"X8",0.410269973724687,3
"X9",-0.349475983890605,3
"X1",0.64255219767396,4
"X10",-0.520059488079148,4
"X11",-0.912639387215614,4
"X12",-0.851635546255137,4
"X13",0.104090833622967,4
"X14",0.286526931111543,4
"X15",-1.00302294480817,4
"X16",0.0363047224206988,4
"X17",-0.365926639352515,4
"X18",-0.228501378660515,4
"X19",-0.380492058204352,4
"X2",2.84707424452919,4
"X20",-0.394618480593129,4
"X3",2.05952327269969,4
"X4",2.06169792364493,4
"X5",2.06184201585821,4
"X6",1.23976427465928,4
"X7",0.748237220985596,4
"X8",0.410269973724687,4
"X9",-0.349475983890605,4
"X1",0.426692160158677,5
"X10",-0.520059488079568,5
"X11",-0.912639387215876,5
"X12",-0.851635546255448,5
"X13",0.104090833622901,5
"X14",0.286526931111474,5
"X15",-1.0030229448082,5
"X16",0.0363047224205975,5
"X17",-0.365926639352695,5
"X18",-0.228501378661217,5
"X19",-0.380492058204408,5
"X2",2.84707424452919,5
"X20",-0.394618480593264,5
"X3",2.05952327269969,5
"X4",2.06169792364493,5
"X5",2.06184201585821,5
"X6",1.23976427465928,5
"X7",0.748237220985596,5
"X8",0.410269973724687,5
"X9",-0.349475983889573,5
"X1",0.303057835019529,6
"X10",-0.520059488079167,6
"X11",-0.912639387215641,6
"X12",-0.851635546255539,6
"X13",0.104090833622957,6
"X14",0.286526931111526,6
"X15",-1.00302294480815,6
"X16",0.0363047224207032,6
"X17",-0.365926639352588,6
"X18",-0.22850137866183,6
"X19",-0.380492058204349,6
"X2",2.8470742445292,6
"X20",-0.394618480592999,6
"X3",2.05952327269969,6
"X4",2.06169792364493,6
"X5",2.0618420158582,6
"X6",1.23976427465928,6
"X7",0.748237220985596,6
"X8",0.410269973724687,6
"X9",-0.349475983888535,6
"X1",0.226458828671436,7
"X10",-0.520059488079275,7
"X11",-0.912639387215527,7
"X12",-0.851635546255307,7
"X13",0.104090833622948,7
"X14",0.286526931111504,7
"X15",-1.00302294480816,7
"X16",0.0363047224206648,7
"X17",-0.365926639352369,7
"X18",-0.228501378661234,7
"X19",-0.380492058204435,7
"X2",2.84707424452919,7
"X20",-0.394618480592934,7
"X3",2.05952327269969,7
"X4",2.06169792364493,7
"X5",2.0618420158582,7
"X6",1.23976427465928,7
"X7",0.748237220985595,7
"X8",0.410269973724687,7
"X9",-0.349475983887697,7
"X1",0.176033441929661,8
"X10",-0.520059488079101,8
"X11",-0.912639387215968,8
"X12",-0.851635546255541,8
"X13",0.104090833622957,8
"X14",0.286526931111577,8
"X15",-1.00302294480817,8
"X16",0.0363047224206575,8
"X17",-0.365926639352412,8
"X18",-0.228501378660459,8
"X19",-0.38049205820441,8
"X2",2.84707424452919,8
"X20",-0.39461848059327,8
"X3",2.05952327269969,8
"X4",2.06169792364493,8
"X5",2.06184201585821,8
"X6",1.23976427465928,8
"X7",0.748237220985597,8
"X8",0.410269973724687,8
"X9",-0.349475983890317,8
"X1",0.141220548357371,9
"X10",-0.520059488079793,9
"X11",-0.9126393872152,9
"X12",-0.851635546254897,9
"X13",0.104090833622959,9
"X14",0.286526931111469,9
"X15",-1.00302294480817,9
"X16",0.0363047224205934,9
"X17",-0.365926639352628,9
"X18",-0.2285013786618,9
"X19",-0.380492058204436,9
"X2",2.84707424452919,9
"X20",-0.394618480592985,9
"X3",2.05952327269969,9
"X4",2.06169792364493,9
"X5",2.0618420158582,9
"X6",1.23976427465928,9
"X7",0.748237220985595,9
"X8",0.410269973724687,9
"X9",-0.349475983888503,9
